run,cindex,pearson,spearman,mse,mae,rmse
pretrained_davis_kd_ki,0.432442173167348,-0.2002812568560621,-0.2039836753572346,100.81093104100724,8.943474870423348,10.040464682523774
pretrained_kiba_kd_ki,0.5682688037992576,0.2408579529630664,0.2044254056049064,26.764815308084923,4.1903696590490895,5.173472268030913
pretrained_kiba_test,0.5647377572604686,0.2294338384323281,0.1911042578665582,18.11074035945969,3.344380615956611,4.255671552112509
pretrained_davis_test,0.4445126786147051,-0.1637180106699073,-0.1666834174753316,79.03167597176154,7.917164260535538,8.889976151360674
kibaW_50E,0.8200610329847826,0.8253305596353657,0.8183180481292469,1.117447662253387,0.7724445100642452,1.057093970398747
davisW_50E,0.8346503103924263,0.8483652338275249,0.8453386452827714,0.9979031202775216,0.7245788467245448,0.9989510099486968
randomW_50E,0.7745135771117215,0.7475425154024306,0.7435751205620936,1.8368708741881496,1.0756891601717244,1.3553120947546178
10_vina_common,0.6596831527445903,0.4683088851634209,0.4688651912441516,86.51037820441864,8.785897643219991,9.301095537861045
kibaW_50E_msa,0.8183048952150928,0.825155248068394,0.8172632683373471,1.1154178426993395,0.784718457071343,1.0561334398168347
davisW_50E_msa,0.8318547330109959,0.845638529430847,0.8397562555050001,1.0874594603942385,0.7732605194122277,1.0428132432963433
randomW_50E_msa,0.7832537338761855,0.7644058351624734,0.7591410378781386,1.5614357258837324,0.9703057918654092,1.2495742178373128
