run,cindex,pearson,spearman,mse,mae,rmse
DGM_davis-overlapD_msaF_binaryE_64B_0.0001LR_0.4D_2000E,0.9054077048661072,0.8716462440990466,0.7196943705338277,0.2000610598064262,0.2286540408578067,0.4472818572292266
DGM_davis-overlapD_shannonF_binaryE_64B_0.0001LR_0.4D_2000E,0.9038623340564066,0.8665325032087774,0.7178708827685475,0.2063918750571551,0.2328424545954608,0.4543037255594049
DGIM_davis-overlapD_nomsaF_binaryE_64B_0.0001LR_0.4D_2000E,0.8983264462980364,0.8472234939764707,0.7214002091456378,0.2396777286522464,0.2576045147673099,0.4895689212483227
DGIM_davis-overlapD_msaF_binaryE_64B_0.0001LR_0.4D_2000E,0.8981821158743079,0.8519201346877542,0.7095988315956685,0.2268401064779237,0.2442450127469654,0.4762773419741105
DGIM_davis-overlapD_shannonF_binaryE_64B_0.0001LR_0.4D_2000E,0.895085802261972,0.8542009102829864,0.7040520671348801,0.2236494820666939,0.2436748229888885,0.472915935517819
DGM_davisD_nomsaF_binaryE_64B_0.0001LR_0.4D_2000E,0.8374886901974278,0.7033364967631468,0.6311364356873926,0.4405220914494523,0.3594644525851583,0.6637183826363802
DGM_davisD_msaF_binaryE_64B_0.0001LR_0.4D_2000E,0.843434746959035,0.7239403824719124,0.6408759751880354,0.4121522063705428,0.3352395367138356,0.6419908148646231
DGM_davisD_shannonF_binaryE_64B_0.0001LR_0.4D_2000E,0.8431068491871972,0.7354360202837265,0.6400449797138166,0.3954203623123647,0.3294074315219122,0.6288245878719794
DGM_kibaD_nomsaF_binaryE_64B_0.0001LR_0.4D_2000E,0.7519550940095658,0.7095274049178589,0.6375502582548752,0.389370413578109,0.4187180323975519,0.6239955236843522
DGM_kibaD_msaF_binaryE_64B_0.0001LR_0.4D_2000E,0.7632334887392055,0.7258032081706678,0.6596344028213248,0.3768305567229005,0.3969794251731418,0.613865259420095
DGM_kibaD_shannonF_binaryE_64B_0.0001LR_0.4D_2000E,0.742039395434909,0.717811202024233,0.6125377386487459,0.3789981170167307,0.4038883885393944,0.6156282295482646
DGM_kiba-overlapD_nomsaF_binaryE_64B_0.0001LR_0.4D_2000E,0.8710806521691807,0.897357342935202,0.8639420318251892,0.1546513463259559,0.2526427154113033,0.3932573538103971
DGM_kiba-overlapD_msaF_binaryE_64B_0.0001LR_0.4D_2000E,0.8778251551793794,0.9091155925259022,0.8715835384231533,0.1370685526565721,0.2350465752127612,0.3702277037939924
DGM_kiba-overlapD_shannonF_binaryE_64B_0.0001LR_0.4D_2000E,0.8772737400716211,0.91063994334385,0.8718357168447632,0.1347590920995092,0.2310347155935173,0.3670954809031422
EDM_davisD_nomsaF_binaryE_10B_0.0001LR_ED_2000E,0.8345196679059662,0.7109413082005313,0.6255783886215531,0.4249166938344466,0.3547053341791987,0.651856344476639
EDAM_davisD_nomsaF_binaryE_10B_0.0001LR_0.4D_2000E,0.8366912296463377,0.726800100212324,0.6285240649269902,0.3979347933055281,0.3702919980053202,0.6308207299269168
EDIM_davisD_nomsaF_binaryE_10B_0.0001LR_0.4D_2000E,0.8507382832038282,0.7393561729782495,0.652584557709015,0.3852178543510327,0.3679947070618477,0.6206592095111718
EDAIM_davisD_nomsaF_binaryE_10B_0.0001LR_0.4D_2000E,0.8484291321399102,0.7423180892348085,0.648817096350931,0.3804834099951807,0.3422865828491251,0.6168333729583547
DGM_davisD_nomsaF_simpleE_64B_0.0001LR_0.4D_2000E,0.8364574671776785,0.6949693423963654,0.6296762374593293,0.4480506621438417,0.369251331971597,0.6693658656847103
DGIM_davisD_nomsaF_simpleE_64B_0.0001LR_0.4D_2000E,0.8136508918814732,0.6662190556216827,0.5866799168252113,0.5014932199302876,0.3911789292228155,0.7081618599799678
EDIM_davisD_nomsaF_simpleE_10B_0.0001LR_0.4D_2000E,0.8446248172112895,0.7465128042858062,0.6398011476971629,0.374315223702406,0.3653127884997827,0.6118130627098494
EDM_davisD_nomsaF_simpleE_10B_0.0001LR_0.4D_2000E,0.8402297243912619,0.7340550607827337,0.6338181244263683,0.3889467492759869,0.3669124209845618,0.6236559542536149
DDP-DGM_davisD_nomsaF_simpleE_64B_0.0001LR_0.4D_730E,0.81864922331356,0.6710867996522837,0.6057334806605552,0.5000634251269651,0.4178466178723777,0.7071516281017566
DDP-EDIM_davisD_nomsaF_simpleE_64B_0.0001LR_0.4D_198E,0.8315805877601778,0.7021672437716068,0.6293771105253977,0.4447231095519912,0.3902451997512201,0.6668756327472096
DDP-DGM_davisD_nomsaF_binaryE_64B_0.0001LR_0.4D_2000E,0.8052352254161035,0.6484869153529426,0.5785568856428566,0.5144733174381052,0.402227931448168,0.7172679537230875
DDP-EDIM_davisD_nomsaF_binaryE_32B_0.0001LR_0.4D_2000E,0.8396839277540225,0.739235874544092,0.6402106934144425,0.3961219984533417,0.3598082213469087,0.6293822355717881
DGM_PDBbindD_nomsaF_binaryE_64B_0.0001LR_0.4D_2000E,0.6592441356396684,0.4291616937351324,0.4659889818607083,3.792403886542521,1.5143488652880528,1.947409532312739
DDP-EDIM_PDBbindD_nomsaF_anmE_20B_0.0001LR_0.4D_2000E,0.571472365206109,0.2449772464143499,0.2057300560600076,6.0701734301038375,1.8837490661347944,2.463772195253416
DDP-EDIM_PDBbindD_nomsaF_af2E_20B_0.0001LR_0.4D_2000E,0.5992863941989972,0.3313427817512238,0.2857264837866556,4.986212851507997,1.7454408247484043,2.232982949220168
